cik_str,ticker,title,processed
1794515,ZI,ZoomInfo Technologies Inc.,False
1447669,TWLO,TWILIO INC,False
1019849,PAG,"PENSKE AUTOMOTIVE GROUP, INC.",False
1609711,GDDY,GoDaddy Inc.,False
21175,CNA,CNA FINANCIAL CORP,False
873303,SRPT,"Sarepta Therapeutics, Inc.",False
1219601,CCK,CROWN HOLDINGS INC,False
1070423,PAA,PLAINS ALL AMERICAN PIPELINE LP,False
1590895,CZR,"Caesars Entertainment, Inc.",False
906345,CPT,CAMDEN PROPERTY TRUST,False
1915657,DINO,HF Sinclair Corp,False
4457,UHAL,U-Haul Holding Co /NV/,False
1174922,WYNN,WYNN RESORTS LTD,False
1725057,CDAY,Ceridian HCM Holding Inc.,False
1289419,MORN,"Morningstar, Inc.",False
12208,BIO,"BIO-RAD LABORATORIES, INC.",False
1100682,CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",False
1177702,SAIA,SAIA INC,False
1082554,UTHR,UNITED THERAPEUTICS Corp,False
320335,GL,GLOBE LIFE INC.,False
91576,KEY,KEYCORP /NEW/,False
726958,CASY,CASEYS GENERAL STORES INC,False
1591698,PCTY,Paylocity Holding Corp,False
913144,RNR,RENAISSANCERE HOLDINGS LTD,False
59527,LECO,LINCOLN ELECTRIC HOLDINGS INC,False
1650164,TOST,"Toast, Inc.",False
1423902,WES,"Western Midstream Partners, LP",False
1428439,ROKU,"ROKU, INC",False
1024305,COTY,COTY INC.,False
1043277,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",False
105634,EME,"EMCOR Group, Inc.",False
82811,RRX,REGAL REXNORD CORP,False
1043219,NLY,ANNALY CAPITAL MANAGEMENT INC,False
1333986,EQH,"Equitable Holdings, Inc.",False
1321732,PEN,Penumbra Inc,False
1002638,OTEX,OPEN TEXT CORP,False
1507079,FND,"Floor & Decor Holdings, Inc.",False
1665918,USFD,US Foods Holding Corp.,False
91142,AOS,SMITH A O CORP,False
1584509,ARMK,Aramark,False
78128,WTRG,"Essential Utilities, Inc.",False
1669162,KNSL,"Kinsale Capital Group, Inc.",False
96943,TFX,TELEFLEX INC,False
1531152,BJ,"BJ's Wholesale Club Holdings, Inc.",False
908255,BWA,BORGWARNER INC,False
1000228,HSIC,HENRY SCHEIN INC,False
812011,MTN,VAIL RESORTS INC,False
898174,RGA,REINSURANCE GROUP OF AMERICA INC,False
1880661,TPG,TPG Inc.,False
1042046,AFG,AMERICAN FINANCIAL GROUP INC,False
1734722,PATH,"UiPath, Inc.",False
1177394,SNX,TD SYNNEX CORP,False
5513,UNM,Unum Group,False
1699838,CFLT,"Confluent, Inc.",False
1618673,PFGC,Performance Food Group Co,False
1327068,USO,"United States Oil Fund, LP",False
1048695,FFIV,"F5, INC.",False
1089063,DKS,"DICK'S SPORTING GOODS, INC.",False
1783879,HOOD,"Robinhood Markets, Inc.",False
1109354,BRKR,BRUKER CORP,False
927066,DVA,DAVITA INC.,False
730272,RGEN,REPLIGEN CORP,False
1611052,PCOR,"PROCORE TECHNOLOGIES, INC.",False
1604778,QRVO,"Qorvo, Inc.",False
915389,EMN,EASTMAN CHEMICAL CO,False
1579298,BURL,"Burlington Stores, Inc.",False
719955,WSM,WILLIAMS SONOMA INC,False
89089,SCI,SERVICE CORP INTERNATIONAL,False
1579241,ALLE,Allegion plc,False
822818,CLH,CLEAN HARBORS INC,False
1732845,WRK,WestRock Co,False
1604028,WMS,"ADVANCED DRAINAGE SYSTEMS, INC.",False
1720635,NVT,nVent Electric plc,False
1467623,DBX,"DROPBOX, INC.",False
1298675,CUBE,CubeSmart,False
1043604,JNPR,JUNIPER NETWORKS INC,False
880266,AGCO,AGCO CORP /DE,False
1511737,UI,Ubiquiti Inc.,False
352915,UHS,UNIVERSAL HEALTH SERVICES INC,False
1013871,NRG,"NRG ENERGY, INC.",False
764622,PNW,PINNACLE WEST CAPITAL CORP,False
1681459,FTI,TechnipFMC plc,False
20212,CHDN,Churchill Downs Inc,False
1261333,DOCU,"DOCUSIGN, INC.",False
37785,FMC,FMC CORP,False
1455863,COLD,AMERICOLD REALTY TRUST,False
813828,PARA,Paramount Global,False
1309108,WEX,WEX Inc.,False
1596783,CTLT,"Catalent, Inc.",False
1090425,LAMR,LAMAR ADVERTISING CO/NEW,False
